Game,PlayerID,Health,ActionType,ActionString,HeuristicValue
0,2,100,TOVPlayerMove,Moved from tile [0, 0] in direction [0, 1].,-0.023
0,1,100,TOVPlayerMove,Moved from tile [0, 0] in direction [0, 1].,-0.023
0,0,100,TOVPlayerMove,Moved from tile [0, 1] in direction [0, 1].,-0.012
0,2,100,TOVPlayerMove,Moved from tile [0, 1] in direction [0, -1].,-0.012
0,1,100,TOVPlayerMove,Moved from tile [0, 1] in direction [0, 1].,-0.012
0,0,100,TOVPlayerMove,Moved from tile [0, 0] in direction [0, 1].,-0.023
0,2,100,TOVPlayerMove,Moved from tile [0, 2] in direction [0, 1].,-0.023
0,1,100,TOVPlayerMove,Moved from tile [0, 2] in direction [1, 0].,-0.023
0,0,100,TOVPlayerMove,Moved from tile [0, 1] in direction [0, 1].,-0.012
0,2,100,TOVPlayerMove,Moved from tile [1, 2] in direction [0, 1].,-0.012
0,2,100,TOVPlayerMove,Moved from tile [2, 2] in direction [1, 0].,-0.001
0,0,100,TOVPlayerAttack,Default Attack against 54,-0.001
0,1,100,TOVPlayerUseCard,Played the card: null,-0.001
0,1,100,TOVPlayerAttack,Default Attack against 55,0.079
0,2,94,TOVPlayerUseCard,Played the card: null,0.004
0,0,91,TOVPlayerAttack,Default Attack against 55,-0.001
0,0,88,TOVPlayerAttack,Default Attack against 55,-0.001
0,2,94,TOVPlayerAttack,Default Attack against 54,0.9939999999999999
0,0,88,TOVPlayerMove,Moved from tile [2, 3] in direction [0, 1].,1.078
0,2,94,TOVPlayerUseCard,Played the card: null,1.003
0,1,97,TOVPlayerUseCard,Played the card: null,1.093
0,0,85,TOVPlayerAttack,Default Attack against 88,1.078
0,2,94,TOVPlayerAttack,Default Attack against 88,1.9929999999999999
0,0,85,TOVPlayerMove,Moved from tile [2, 4] in direction [0, 1].,2.1580000000000004
0,2,94,TOVPlayerAttack,Default Attack against 113,2.003
0,1,97,TOVPlayerUseCard,Played the card: null,2.0980000000000003
0,1,97,TOVPlayerAttack,Default Attack against 113,2.103
0,0,85,TOVPlayerAttack,Default Attack against 113,3.1430000000000002
0,2,77,TOVPlayerMove,Moved from tile [2, 4] in direction [0, -1].,2.983
