Game,PlayerID,Health,ActionType,ActionString,HeuristicValue
0,2,100,TOVPlayerMove,Moved from tile [0, 0] in direction [0, 1].,-0.024
0,1,100,TOVPlayerMove,Moved from tile [0, 0] in direction [0, 1].,-0.024
0,0,100,TOVPlayerMove,Moved from tile [0, 1] in direction [0, 1].,-0.013000000000000001
0,2,100,TOVPlayerMove,Moved from tile [1, 1] in direction [1, 0].,-0.002
0,0,100,TOVPlayerUseCard,Played the card: null,-0.002
0,0,100,TOVPlayerUseCard,Played the card: null,-0.002
0,0,100,TOVPlayerAttack,Default Attack against 23,0.003
0,1,94,TOVPlayerAttack,Default Attack against 24,0.027999999999999997
0,1,90,TOVPlayerAttack,Default Attack against 23,0.053
0,0,98,TOVPlayerAttack,Default Attack against 24,0.009
0,1,90,TOVPlayerUseCard,Played the card: null,0.058
0,0,94,TOVPlayerUseCard,Played the card: null,0.008
0,2,88,TOVPlayerAttack,Default Attack against 23,-0.002
0,1,90,TOVPlayerUseCard,Played the card: null,0.058
0,1,90,TOVPlayerUseCard,Played the card: null,0.058
0,1,90,TOVPlayerUseCard,Played the card: null,0.058
0,0,94,TOVPlayerAttack,Default Attack against 24,1.078
0,2,74,TOVPlayerMove,Moved from tile [1, 2] in direction [0, 1].,0.999
0,1,90,TOVPlayerAttack,Default Attack against 51,1.1390000000000002
0,0,94,TOVPlayerAttack,Default Attack against 51,1.0890000000000002
0,2,74,TOVPlayerAttack,Default Attack against 51,1.984
0,1,90,TOVPlayerMove,Moved from tile [1, 2] in direction [-1, 0].,2.124
0,0,94,TOVPlayerMove,Moved from tile [1, 2] in direction [-1, 0].,2.149
0,2,74,TOVPlayerMove,Moved from tile [0, 2] in direction [-1, 0].,1.9729999999999999
0,1,90,TOVPlayerMove,Moved from tile [0, 2] in direction [0, -1].,2.1130000000000004
0,0,94,TOVPlayerMove,Moved from tile [0, 2] in direction [1, 0].,2.1380000000000003
0,2,74,TOVPlayerMove,Moved from tile [0, 1] in direction [0, 1].,1.982
0,1,90,TOVPlayerMove,Moved from tile [1, 2] in direction [0, 1].,2.124
0,0,94,TOVPlayerMove,Moved from tile [0, 3] in direction [-1, 0].,2.149
0,2,74,TOVPlayerMove,Moved from tile [0, 2] in direction [1, 0].,1.97
