Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
0,0,97,TOVPlayerUseCard,Played the card: Empower,0.46,0
0,1,99,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",0.47,0
0,2,98,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",0.96,0
0,0,96,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",0.187,1
0,1,99,TOVPlayerUseCard,Played the card: Taunt,0.734,1
0,2,96,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",0.693,1
0,0,93,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",0.415,2
0,1,99,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",0.457,2
0,2,95,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",0.416,2
0,0,90,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",0.644,3
0,1,96,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",0.717,3
0,2,100,TOVPlayerUseCard,Played the card: Heal,6.832,3
0,0,87,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",0.852,4
0,1,96,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",0.925,4
0,2,87,TOVPlayerUseCard,Played the card: Life tap,8.78,4
0,0,85,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",1.061,5
0,1,96,TOVPlayerUseCard,Played the card: Taunt,1.187,5
0,2,77,TOVPlayerUseCard,Played the card: Life tap,9.079,5
0,0,83,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",1.269,6
0,1,93,TOVPlayerAttack,Default Attack against 26,1.446,6
0,2,85,TOVPlayerUseCard,Played the card: Heal,9.388,6
0,0,80,TOVPlayerUseCard,Played the card: Empower,1.499,7
0,1,90,TOVPlayerUseCard,Played the card: Dazzle,1.699,7
0,2,92,TOVPlayerUseCard,Played the card: Heal,9.698,7
0,0,77,TOVPlayerUseCard,Played the card: null,1.708,8
0,1,87,TOVPlayerUseCard,Played the card: Dazzle,1.953,8
0,2,91,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",10.418,8
0,0,74,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",1.917,9
0,1,86,TOVPlayerAttack,Default Attack against 28,2.194,9
0,2,88,TOVPlayerUseCard,Played the card: null,10.71,9
0,0,73,TOVPlayerUseCard,Played the card: null,2.125,10
0,1,83,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",2.439,10
0,2,86,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",11.003,10
0,0,73,TOVPlayerUseCard,Played the card: null,2.334,11
0,1,82,TOVPlayerUseCard,Played the card: Dazzle,2.673,11
0,2,96,TOVPlayerUseCard,Played the card: Heal,13.547,11
0,0,70,TOVPlayerAttack,Default Attack against 29,2.556,12
0,1,81,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",2.896,12
0,2,94,TOVPlayerUseCard,Played the card: null,13.86,12
0,0,68,TOVPlayerUseCard,Played the card: Empower,2.788,13
0,1,79,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",3.131,13
0,2,92,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",11.903,13
0,0,66,TOVPlayerUseCard,Played the card: Empower,3.02,14
0,1,79,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",3.343,14
0,2,90,TOVPlayerUseCard,Played the card: null,12.196,14
0,0,64,TOVPlayerUseCard,Played the card: Cleave,3.264,15
0,1,77,TOVPlayerAttack,Default Attack against 21,3.775,15
0,2,87,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",12.488,15
0,0,64,TOVPlayerUseCard,Played the card: Cleave,3.508,16
0,1,75,TOVPlayerUseCard,Played the card: Dazzle,4.024,16
0,2,74,TOVPlayerUseCard,Played the card: Life tap,14.659,16
0,0,63,TOVPlayerUseCard,Played the card: Empower,3.742,17
0,1,72,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",4.274,17
0,2,71,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",13.085,17
0,0,63,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",3.952,18
0,1,72,TOVPlayerAttack,Default Attack against 24,4.508,18
0,2,78,TOVPlayerUseCard,Played the card: Heal,15.777,18
0,0,63,TOVPlayerUseCard,Played the card: Cleave,4.198,19
0,1,72,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",4.723,19
0,2,77,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",13.695,19
0,0,62,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",4.408,20
0,1,69,TOVPlayerUseCard,Played the card: Taunt,5.034,20
0,2,74,TOVPlayerAttack,Default Attack against 26,14.017,20
0,0,62,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",4.619,21
0,1,67,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",5.274,21
0,2,72,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",19.185,21
0,0,60,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",4.829,22
0,1,64,TOVPlayerAttack,Default Attack against 27,5.564,22
0,2,71,TOVPlayerUseCard,Played the card: null,19.52,22
0,0,59,TOVPlayerUseCard,Played the card: null,6.279,23
0,1,64,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",5.781,23
0,2,60,TOVPlayerUseCard,Played the card: Life tap,21.851,23
0,0,58,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",6.5,24
0,1,64,TOVPlayerUseCard,Played the card: Dazzle,6.01,24
0,2,48,TOVPlayerUseCard,Played the card: Life tap,28.127,24
0,0,58,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",6.721,25
0,1,63,TOVPlayerUseCard,Played the card: null,6.239,25
0,2,47,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",26.498,25
0,0,56,TOVPlayerUseCard,Played the card: Empower,6.967,26
0,1,62,TOVPlayerUseCard,Played the card: Taunt,6.532,26
0,2,36,TOVPlayerUseCard,Played the card: Life tap,28.765,26
0,0,56,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",7.188,27
0,1,60,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",6.776,27
0,2,36,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",27.115,27
