Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
0,0,99,TOVPlayerAttack,Default Attack against 30,-20.0,0
0,1,98,TOVPlayerAttack,Default Attack against 22,-20.0,0
0,2,90,TOVPlayerUseCard,Played the card: Life tap,-20.0,0
0,0,97,TOVPlayerAttack,Default Attack against 20,-18.463,1
0,1,97,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",-18.497,1
0,2,90,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",-18.498,1
0,0,96,TOVPlayerUseCard,Played the card: Cleave,-16.97,2
0,1,94,TOVPlayerAttack,Default Attack against 23,-17.008,2
0,2,87,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",-17.041,2
0,0,94,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",-15.628,3
0,1,91,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",-15.568,3
0,2,87,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",-15.628,3
0,0,93,TOVPlayerAttack,Default Attack against 23,-14.25,4
0,1,91,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",-13.886,4
0,2,74,TOVPlayerUseCard,Played the card: Life tap,-13.795,4
0,0,90,TOVPlayerAttack,Default Attack against 25,-12.857,5
0,1,88,TOVPlayerUseCard,Played the card: Dazzle,-12.456,5
0,2,71,TOVPlayerAttack,Default Attack against 26,-12.916,5
0,0,90,TOVPlayerAttack,Default Attack against 22,-11.545,6
0,1,86,TOVPlayerUseCard,Played the card: Dazzle,-9.396,6
0,2,68,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",-11.624,6
0,0,87,TOVPlayerAttack,Default Attack against 29,-10.195,7
0,1,84,TOVPlayerUseCard,Played the card: null,-7.8,7
0,2,68,TOVPlayerAttack,Default Attack against 23,-10.354,7
0,0,86,TOVPlayerAttack,Default Attack against 26,-8.949,8
0,1,83,TOVPlayerAttack,Default Attack against 25,-6.241,8
0,2,67,TOVPlayerAttack,Default Attack against 20,-9.123,8
0,0,85,TOVPlayerUseCard,Played the card: Empower,-7.748,9
0,1,82,TOVPlayerAttack,Default Attack against 22,-4.719,9
0,2,54,TOVPlayerUseCard,Played the card: Life tap,-6.375,9
0,0,84,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",-6.569,10
0,1,80,TOVPlayerUseCard,Played the card: null,-3.253,10
0,2,53,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",-3.502,10
0,0,82,TOVPlayerAttack,Default Attack against 29,-2.451,11
0,1,79,TOVPlayerUseCard,Played the card: null,-1.835,11
0,2,50,TOVPlayerAttack,Default Attack against 27,-2.101,11
0,0,82,TOVPlayerUseCard,Played the card: Empower,-1.128,12
0,1,77,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",-0.833,12
0,2,40,TOVPlayerUseCard,Played the card: Life tap,0.205,12
0,0,81,TOVPlayerUseCard,Played the card: Cleave,0.171,13
0,1,75,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",0.077,13
0,2,39,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",0.26,13
0,0,78,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",4.907,14
0,1,72,TOVPlayerAttack,Default Attack against 26,1.358,14
0,2,37,TOVPlayerAttack,Default Attack against 30,1.646,14
0,0,77,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",6.33,15
0,1,70,TOVPlayerAttack,Default Attack against 21,2.605,15
0,2,34,TOVPlayerAttack,Default Attack against 26,2.855,15
0,0,77,TOVPlayerUseCard,Played the card: Cleave,7.713,16
0,1,68,TOVPlayerAttack,Default Attack against 25,3.828,16
0,2,44,TOVPlayerUseCard,Played the card: Heal,6.105,16
0,0,75,TOVPlayerAttack,Default Attack against 23,9.214,17
0,1,65,TOVPlayerUseCard,Played the card: Dazzle,9.051,17
0,2,34,TOVPlayerUseCard,Played the card: Life tap,8.857,17
0,0,74,TOVPlayerAttack,Default Attack against 27,10.534,18
0,1,64,TOVPlayerAttack,Default Attack against 29,10.523,18
0,2,24,TOVPlayerUseCard,Played the card: Life tap,9.993,18
0,0,74,TOVPlayerUseCard,Played the card: null,11.788,19
0,1,62,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",11.799,19
0,2,24,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",7.268,19
0,0,71,TOVPlayerUseCard,Played the card: Cleave,13.027,20
0,1,60,TOVPlayerUseCard,Played the card: Dazzle,13.05,20
0,2,24,TOVPlayerAttack,Default Attack against 29,8.334,20
0,0,71,TOVPlayerUseCard,Played the card: Empower,14.207,21
0,1,58,TOVPlayerAttack,Default Attack against 23,15.472,21
0,2,22,TOVPlayerAttack,Default Attack against 22,9.332,21
0,0,70,TOVPlayerUseCard,Played the card: Cleave,15.377,22
0,1,55,TOVPlayerAttack,Default Attack against 27,16.733,22
0,2,19,TOVPlayerAttack,Default Attack against 21,10.282,22
0,0,70,TOVPlayerAttack,Default Attack against 26,16.526,23
0,1,52,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",17.925,23
0,2,29,TOVPlayerUseCard,Played the card: Heal,13.971,23
0,0,68,TOVPlayerUseCard,Played the card: Cleave,17.632,24
0,1,50,TOVPlayerUseCard,Played the card: Taunt,19.136,24
0,2,39,TOVPlayerUseCard,Played the card: Heal,15.172,24
0,0,68,TOVPlayerUseCard,Played the card: Cleave,18.706,25
0,1,49,TOVPlayerUseCard,Played the card: Dazzle,19.906,25
0,2,49,TOVPlayerUseCard,Played the card: Heal,16.327,25
0,0,65,TOVPlayerAttack,Default Attack against 29,19.75,26
0,1,48,TOVPlayerAttack,Default Attack against 21,20.984,26
0,2,46,TOVPlayerAttack,Default Attack against 24,14.531,26
0,0,62,TOVPlayerAttack,Default Attack against 26,20.765,27
0,1,45,TOVPlayerAttack,Default Attack against 24,22.035,27
0,2,44,TOVPlayerAttack,Default Attack against 26,15.394,27
0,0,61,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",21.723,28
0,1,43,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",23.019,28
0,2,41,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",16.177,28
0,0,59,TOVPlayerUseCard,Played the card: Empower,24.12,29
0,1,43,TOVPlayerUseCard,Played the card: Taunt,24.051,29
0,2,41,TOVPlayerAttack,Default Attack against 28,17.035,29
0,0,56,TOVPlayerAttack,Default Attack against 21,25.103,30
0,1,40,TOVPlayerAttack,Default Attack against 23,24.998,30
0,2,40,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",17.8,30
0,0,55,TOVPlayerAttack,Default Attack against 28,26.042,31
0,1,38,TOVPlayerUseCard,Played the card: Dazzle,25.91,31
0,2,48,TOVPlayerUseCard,Played the card: Heal,21.783,31
0,0,55,TOVPlayerAttack,Default Attack against 22,26.971,32
0,1,36,TOVPlayerUseCard,Played the card: Taunt,26.856,32
0,2,46,TOVPlayerAttack,Default Attack against 30,19.716,32
0,0,53,TOVPlayerAttack,Default Attack against 27,27.859,33
0,1,34,TOVPlayerUseCard,Played the card: Taunt,27.777,33
0,2,46,TOVPlayerAttack,Default Attack against 24,20.463,33
0,0,53,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",28.687,34
0,1,31,TOVPlayerUseCard,Played the card: Dazzle,28.603,34
0,2,35,TOVPlayerUseCard,Played the card: Life tap,23.55,34
0,0,52,TOVPlayerAttack,Default Attack against 23,29.517,35
0,1,28,TOVPlayerUseCard,Played the card: Taunt,29.467,35
0,2,25,TOVPlayerUseCard,Played the card: Life tap,24.055,35
0,0,51,TOVPlayerAttack,Default Attack against 30,30.33,36
0,1,27,TOVPlayerUseCard,Played the card: null,30.239,36
0,2,24,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",22.059,36
0,0,48,TOVPlayerAttack,Default Attack against 28,30.67,37
0,1,27,TOVPlayerUseCard,Played the card: Dazzle,31.011,37
0,2,11,TOVPlayerUseCard,Played the card: Life tap,25.051,37
0,0,47,TOVPlayerUseCard,Played the card: Empower,31.381,38
0,1,27,TOVPlayerUseCard,Played the card: Taunt,31.83,38
0,2,10,TOVPlayerAttack,Default Attack against 28,22.978,38
0,0,44,TOVPlayerUseCard,Played the card: Cleave,32.064,39
0,1,25,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",32.525,39
0,2,7,TOVPlayerAttack,Default Attack against 26,23.522,39
0,0,42,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",32.709,40
0,1,24,TOVPlayerUseCard,Played the card: Dazzle,33.225,40
0,2,4,TOVPlayerAttack,Default Attack against 20,24.311,40
0,0,41,TOVPlayerAttack,Default Attack against 29,33.387,41
0,1,22,TOVPlayerUseCard,Played the card: Taunt,33.964,41
0,2,2,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",24.8,41
0,0,39,TOVPlayerAttack,Default Attack against 23,34.038,42
0,1,22,TOVPlayerUseCard,Played the card: Taunt,34.705,42
0,2,1,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",32.525,42
0,0,38,TOVPlayerUseCard,Played the card: Cleave,34.677,43
0,1,21,TOVPlayerAttack,Default Attack against 30,35.634,43
0,2,100,TOVPlayerUseCard,Played the card: Life tap,35.123,43
0,0,38,TOVPlayerUseCard,Played the card: null,35.282,44
0,1,18,TOVPlayerUseCard,Played the card: Taunt,36.309,44
0,2,98,TOVPlayerAttack,Default Attack against 23,32.842,44
0,0,37,TOVPlayerAttack,Default Attack against 28,35.877,45
0,1,15,TOVPlayerAttack,Default Attack against 21,36.926,45
